 Tabela de Encode ASCII
 ======================
 
 
Decimal	Hexadecimal		UTF-16					UTF-32								Símbolo		Interpretação
0		0x00			\xff\xfe\x00\x00		\xff\xfe\x00\x00\x00\x00\x00\x00	NULL		Null
206		0xCE			\xff\xfe\xCE\x00		\xff\xfe\x00\x00\xCE\x00\x00\x00	Î	 		Latin Capital Letter I with Circumflex
207		0xCF			\xff\xfe\xCF\x00		\xff\xfe\x00\x00\xCF\x00\x00\x00	Ï	 		Latin Capital Letter I with Diaeresis
208		0xD0			\xff\xfe\xD0\x00		\xff\xfe\x00\x00\xD0\x00\x00\x00	Ð	 		Latin Capital Letter ETH
209		0xD1			\xff\xfe\xD1\x00		\xff\xfe\x00\x00\xD1\x00\x00\x00	Ñ	 		Latin Capital Letter N with Tilde
210		0xD2			\xff\xfe\xD2\x00		\xff\xfe\x00\x00\xD2\x00\x00\x00	Ò	 		Latin Capital Letter O with Grave
211		0xD3			\xff\xfe\xD3\x00		\xff\xfe\x00\x00\xD3\x00\x00\x00	Ó	 		Latin Capital Letter O with Acute
212		0xD4			\xff\xfe\xD4\x00		\xff\xfe\x00\x00\xD4\x00\x00\x00	Ô	 		Latin Capital Letter O with Circumflex
213		0xD5			\xff\xfe\xD5\x00		\xff\xfe\x00\x00\xD5\x00\x00\x00	Õ	 		Latin Capital Letter O with Tilde
214		0xD6			\xff\xfe\xD6\x00		\xff\xfe\x00\x00\xD6\x00\x00\x00	Ö	 		Latin Capital Letter O with Diaeresis
215		0xD7			\xff\xfe\xD7\x00		\xff\xfe\x00\x00\xD7\x00\x00\x00	×	 		Multiplication
216		0xD8			\xff\xfe\xD8\x00		\xff\xfe\x00\x00\xD8\x00\x00\x00	Ø	 		Latin Capital Letter O with Stroke
217		0xD9			\xff\xfe\xD9\x00		\xff\xfe\x00\x00\xD9\x00\x00\x00	Ù	 		Latin Capital Letter U with Grave
218		0xDA			\xff\xfe\xDA\x00		\xff\xfe\x00\x00\xDA\x00\x00\x00	Ú	 		Latin Capital Letter U with Acute
219		0xDB			\xff\xfe\xDB\x00		\xff\xfe\x00\x00\xDB\x00\x00\x00	Û	 		Latin Capital Letter U with Circumflex
220		0xDC			\xff\xfe\xDC\x00		\xff\xfe\x00\x00\xDC\x00\x00\x00	Ü	 		Latin Capital Letter U with Diaeresis
221		0xDD			\xff\xfe\xDD\x00		\xff\xfe\x00\x00\xDD\x00\x00\x00	Ý	 		Latin Capital Letter Y with Acute
222		0xDE			\xff\xfe\xDE\x00		\xff\xfe\x00\x00\xDE\x00\x00\x00	Þ	 		Latin Capital Letter Thorn
223		0xDF			\xff\xfe\xDF\x00		\xff\xfe\x00\x00\xDF\x00\x00\x00	ß	 		Latin Small Letter Sharp S
224		0xE0			\xff\xfe\xE0\x00		\xff\xfe\x00\x00\xE0\x00\x00\x00	à	 		Latin Small Letter A with Grave
225		0xE1			\xff\xfe\xE1\x00		\xff\xfe\x00\x00\xE1\x00\x00\x00	á	 		Latin Small Letter A with Acute
226		0xE2			\xff\xfe\xE2\x00		\xff\xfe\x00\x00\xE2\x00\x00\x00	â	 		Latin Small Letter A with Circumflex
227		0xE3			\xff\xfe\xE3\x00		\xff\xfe\x00\x00\xE3\x00\x00\x00	ã	 		Latin Small Letter A with Tilde
228		0xE4			\xff\xfe\xE4\x00		\xff\xfe\x00\x00\xE4\x00\x00\x00	ä	 		Latin Small Letter A with Diaeresis
